Dataset,AL,AU,AD,AP,ES,EH,TA,TP
parkinsons      &95.76      &95.86       &93.3      &95.76        &&91.92      &96.13      &&95.86        &96.02
vertebral       &94.49      &94.24       &91.32     &94.5         &&83.36      &94.34      &&94.24        &94.44
breast          &98.74      &98.76       &98.36     &98.74        &&98.01      &98.82      &&98.76        &98.78
climate         &98.05      &98.02       &97.06     &98.05        &&95.37      &98.04      &&98.02        &98.04
ionosphere      &97.23      &97.4        &95.49     &97.23        &&94.34      &97.48      &&97.4         &97.42
blod            &84.87      &84.27       &82.1      &84.86        &&68.16      &83.46      &&84.27        &84.5
bank            &99.74      &99.74       &99.69     &99.74        &&99.65      &99.74      &&99.74        &99.74
QSAR            &95.11      &95.04       &91.07     &95.11        &&85.15      &95.18      &&95.04        &95.17
spambase        &98.99      &98.96       &98.05     &98.99        &&96.59      &98.99      &&98.96        &98.99
mean            &95.89      &95.81       &94.05     &95.89        &&90.28      &95.8       &&95.81        &95.9
